Week,Category,Price,Spec
10,6,5.697807018,Turbot
11,6,5.833333333,Turbot
12,6,5.823555556,Turbot
13,6,5.961886792,Turbot
14,6,5.348421053,Turbot
15,6,5.784693878,Turbot
16,6,5.260403226,Turbot
17,6,4.638181818,Turbot
18,6,4.53920354,Turbot
19,6,4.559174312,Turbot
20,6,4.502792793,Turbot
21,6,4.60540146,Turbot
22,6,4.410387597,Turbot
23,6,4.554354839,Turbot
24,6,4.351481481,Turbot
25,6,4.43745283,Turbot
26,6,4.336761905,Turbot
27,6,4.716981132,Turbot
28,6,4.328426966,Turbot
29,6,5.057101449,Turbot
30,6,5.088769231,Turbot
31,6,5.017671233,Turbot
32,6,5.251052632,Turbot
33,6,4.757368421,Turbot
34,6,4.715520833,Turbot
35,6,4.776292135,Turbot
36,6,4.67375,Turbot
37,6,4.737213115,Turbot
38,6,4.575909091,Turbot
39,6,4.524158416,Turbot
40,6,4.654333333,Turbot
41,6,4.299326923,Turbot
42,6,4.37925,Turbot
43,6,4.508152174,Turbot
44,6,4.517196262,Turbot
45,6,4.536509434,Turbot
46,6,4.501666667,Turbot
47,6,4.516341463,Turbot
48,6,4.539270833,Turbot
49,6,5.025,Turbot
50,6,5.312650602,Turbot
51,6,4.994473684,Turbot
52,6,4.42375,Turbot
0,0,14.99,Sole
1,0,13.4167061,Sole
2,0,13.7260399,Sole
3,0,13.50275899,Sole
4,0,14.14136364,Sole
5,0,7.93,Sole
6,0,14.72960364,Sole
7,0,14.79,Sole
8,0,8.3,Sole
9,0,14.73234955,Sole
10,0,11.87333333,Sole
11,0,8.94,Sole
12,0,13.95015152,Sole
13,0,13.71198268,Sole
14,0,13.23704785,Sole
15,0,9.035,Sole
16,0,12.50853345,Sole
17,0,12.65800837,Sole
18,0,12.7174689,Sole
19,0,11.53,Sole
20,0,13.70401364,Sole
21,0,18.05,Sole
22,0,11.05666667,Sole
23,0,12.615,Sole
24,0,11.08,Sole
25,0,12.63255283,Sole
26,0,12.77998433,Sole
27,0,12.78770979,Sole
28,0,5.475,Sole
29,0,3.435,Sole
30,0,4.66,Sole
31,0,8.46,Sole
32,0,2.2,Sole
33,0,7.883333333,Sole
34,0,6.78,Sole
35,0,15.1,Sole
36,0,12.36859866,Sole
37,0,12.52591299,Sole
38,0,10.8,Sole
39,0,11.81477485,Sole
40,0,11.56,Sole
41,0,12.425,Sole
42,0,12.5,Sole
43,0,9.276666667,Sole
44,0,7.53,Sole
45,0,10.225,Sole
46,0,12.26512708,Sole
47,0,13.82,Sole
48,0,14.43,Sole
49,0,8.805,Sole
50,0,12.32439589,Sole
51,0,16.91,Sole
52,0,17.88,Sole
0,1,17.915,Sole
1,1,13.44384615,Sole
2,1,12.42109589,Sole
3,1,12.87285714,Sole
4,1,12.16032787,Sole
5,1,12.23953125,Sole
6,1,12.02861111,Sole
7,1,11.69911765,Sole
8,1,11.18628571,Sole
9,1,11.22857143,Sole
10,1,11.55422222,Sole
11,1,10.78067308,Sole
12,1,11.14178571,Sole
13,1,11.15516393,Sole
14,1,10.44766129,Sole
15,1,10.48459184,Sole
16,1,10.49901961,Sole
17,1,11.17797872,Sole
18,1,12.86485437,Sole
19,1,14.76489796,Sole
20,1,17.22904255,Sole
21,1,18.637125,Sole
22,1,20.13626374,Sole
23,1,17.96873563,Sole
24,1,18.98741379,Sole
25,1,18.50409091,Sole
26,1,19.00672897,Sole
27,1,19.19086957,Sole
28,1,20.42608696,Sole
29,1,20.60835165,Sole
30,1,20.75739583,Sole
31,1,20.10085366,Sole
32,1,18.21860215,Sole
33,1,17.57175258,Sole
34,1,16.88609524,Sole
35,1,16.36010638,Sole
36,1,16.72818182,Sole
37,1,16.87210526,Sole
38,1,15.87990741,Sole
39,1,15.86031579,Sole
40,1,15.11558442,Sole
41,1,15.75287356,Sole
42,1,15.5232,Sole
43,1,15.5845679,Sole
44,1,15.21449438,Sole
45,1,14.71473118,Sole
46,1,14.21282051,Sole
47,1,14.70108434,Sole
48,1,14.75781609,Sole
49,1,15.77507042,Sole
50,1,15.90261905,Sole
51,1,17.21891304,Sole
52,1,15.8796,Sole
0,2,19.20368421,Sole
1,2,14.12974684,Sole
2,2,13.18626263,Sole
3,2,13.11589474,Sole
4,2,13.45910112,Sole
5,2,13.37351351,Sole
6,2,13.48352381,Sole
7,2,13.82747475,Sole
8,2,13.19933884,Sole
9,2,13.40622047,Sole
10,2,12.87566176,Sole
11,2,12.860875,Sole
12,2,12.94489051,Sole
13,2,12.89514286,Sole
14,2,12.305,Sole
15,2,11.93528169,Sole
16,2,11.6526875,Sole
17,2,11.8408589,Sole
18,2,12.9747973,Sole
19,2,13.666,Sole
20,2,15.176,Sole
21,2,15.79945578,Sole
22,2,17.55169118,Sole
23,2,15.55102041,Sole
24,2,14.97015038,Sole
25,2,15.0468254,Sole
26,2,15.54814103,Sole
27,2,16.82154472,Sole
28,2,16.61086957,Sole
29,2,17.11866197,Sole
30,2,16.96560976,Sole
31,2,17.12752066,Sole
32,2,16.61572464,Sole
33,2,15.54516129,Sole
34,2,15.26941176,Sole
35,2,15.77489655,Sole
36,2,15.53018987,Sole
37,2,15.22019608,Sole
38,2,14.43206452,Sole
39,2,14.56892617,Sole
40,2,14.422,Sole
41,2,14.39915385,Sole
42,2,14.75273973,Sole
43,2,14.59291339,Sole
44,2,14.71304,Sole
45,2,14.73904762,Sole
46,2,14.64793651,Sole
47,2,14.72233083,Sole
48,2,14.87714286,Sole
49,2,15.39844961,Sole
50,2,16.38681159,Sole
51,2,17.29358209,Sole
52,2,16.88454545,Sole
0,3,16.25363636,Sole
1,3,12.26905983,Sole
2,3,12.23777778,Sole
3,3,11.9787395,Sole
4,3,12.45392523,Sole
5,3,12.86759259,Sole
6,3,12.7406,Sole
7,3,11.85313559,Sole
8,3,11.84984,Sole
9,3,11.96581395,Sole
10,3,12.17179688,Sole
11,3,11.53836879,Sole
12,3,11.32106557,Sole
13,3,11.39414773,Sole
14,3,10.85142857,Sole
15,3,10.41311765,Sole
16,3,10.26612903,Sole
17,3,10.12837037,Sole
18,3,11.59733766,Sole
19,3,11.62335664,Sole
20,3,13.08711864,Sole
21,3,12.79403974,Sole
22,3,13.80043165,Sole
23,3,12.79046667,Sole
24,3,12.27154839,Sole
25,3,12.21699346,Sole
26,3,12.30391304,Sole
27,3,13.11737931,Sole
28,3,12.9948227,Sole
29,3,13.22065217,Sole
30,3,13.17294118,Sole
31,3,12.64850299,Sole
32,3,11.7103012,Sole
33,3,11.51333333,Sole
34,3,11.55405556,Sole
35,3,12.07658683,Sole
36,3,12.37821622,Sole
37,3,12.40716216,Sole
38,3,12.08819355,Sole
39,3,11.71670455,Sole
40,3,11.30036585,Sole
41,3,11.11085366,Sole
42,3,11.49743421,Sole
43,3,11.87363057,Sole
44,3,11.56877419,Sole
45,3,11.65930556,Sole
46,3,11.1903876,Sole
